title,link
#279 Understanding the Asset Pipeline - RailsCasts,http://railscasts.com/episodes/279-understanding-the-asset-pipeline
$ cheat rvm,http://cheat.errtheblog.com/s/rvm/
14 Customer Feedback Tools for Small Business | Practical eCommerce,http://www.practicalecommerce.com/articles/2827-14-Customer-Feedback-Tools-for-Small-Business
30 Handy Bash Shell Aliases For Linux / Unix / Mac OS X,http://www.cyberciti.biz/tips/bash-aliases-mac-centos-linux-unix.html
30 Shredders In One Solo Lesson,http://www.guitarmasterclass.net/ls/30-Shredders-In-One-Solo/
30 Shredders In One Solo! - YouTube,https://www.youtube.com/watch?NR=1&v=iaAkWy55V3A
500 - Internal Server Error | Flickr - Photo Sharing!,http://www.flickr.com/photos/girliemac/6509400855/in/set-72157628409467125/
7 Ways to Decompose Fat ActiveRecord Models - Code Climate Blog,http://blog.codeclimate.com/blog/2012/10/17/7-ways-to-decompose-fat-activerecord-models/
A programmer’s guide to JavaScript by Dr. Axel Rauschmayer,http://jsguide.org/
,http://www.csee.umbc.edu/about/
Acorn: yet another JavaScript parser,http://marijnhaverbeke.nl/blog/acorn.html
acorn/acorn.js at master · marijnh/acorn · GitHub,https://github.com/marijnh/acorn/blob/master/acorn.js
afterRender() callback in Backbone.js Views,http://fahad19.tumblr.com/post/28158699664/afterrender-callback-in-backbone-js-views
All you need to know about CSS Transitions | Alex MacCaw,http://blog.alexmaccaw.com/css-transitions?utm_source=html5weekly&utm_medium=email
,http://rethinkdb.com/docs/install
AngularJS: Tutorial,http://docs.angularjs.org/tutorial/
,https://id.apache.org/
,https://translate.apache.org/de/CouchDB/
,https://blogs.apache.org/roller-ui/login.rol
,http://wilderness.apache.org/archives/
aziz/PlainTasks · GitHub,https://github.com/aziz/PlainTasks
Backbone.js Tutorials,http://backbonetutorials.com/
Backbone.js,http://backbonejs.org/
Backbone.js: Getting The Model For A Clicked Element | ThoughtStream.new :derick_bailey,http://lostechies.com/derickbailey/2011/10/11/backbone-js-getting-the-model-for-a-clicked-element/
backbonetutorials/examples/modular-backbone at gh-pages · thomasdavis/backbonetutorials,https://github.com/thomasdavis/backbonetutorials/tree/gh-pages/examples/modular-backbone
BASH Programming - Introduction HOW-TO,http://tldp.org/HOWTO/Bash-Prog-Intro-HOWTO.html
Beginning Ember.js on Rails: Part 1 :: Cerebris,http://www.cerebris.com/blog/2012/01/24/beginning-ember-js-on-rails-part-1/
Beginning Ember.js on Rails: Part 2 :: Cerebris,http://www.cerebris.com/blog/2012/01/26/beginning-ember-js-on-rails-part-2/
Beginning Ember.js on Rails: Part 3 :: Cerebris,http://www.cerebris.com/blog/2012/01/31/beginning-ember-js-on-rails-part-3/
Beginning Ember.js on Rails: Part 3 :: Cerebris,http://www.cerebris.com/blog/2012/01/31/beginning-ember-js-on-rails-part-3/
BELBIN®: The home of Belbin Team Roles,http://www.belbin.com/
bestiejs/lodash,https://github.com/bestiejs/lodash
Border-radius: create rounded corners with CSS! - CSS3 . Info,http://www.css3.info/preview/rounded-border/
Bottle: Python Web Framework — Bottle 0.12-dev documentation,http://bottlepy.org/docs/dev/
BSON - Binary JSON,http://bsonspec.org/#/specification
Bundesgesetzblatt online,http://www.bgbl.de/Xaver/start.xav?startbk=Bundesanzeiger_BGBl
"Camping, a Microframework",http://camping.io/
Capistrano recipes: deploy,http://capitate.rubyforge.org/recipes/deploy.html
Check_MK - The Official Documentation,http://mathias-kettner.de/checkmk.html
Chrome 26 Beta: Verbesserte Rechtschreibkorrektur und Template-Unterstützung - Golem.de,http://www.golem.de/news/chrome-26-beta-verbesserte-rechtschreibkorrektur-und-template-unterstuetzung-1302-97855.html
CodeKata: Code Kata,http://codekata.pragprog.com/2007/01/code_kata_backg.html#more
CoffeeScript Cookbook » Home,http://coffeescriptcookbook.com/
CoffeeScript Cookbook » Testing Every Element,http://coffeescriptcookbook.com/chapters/arrays/testing-every-element
CoffeeScript Love: Testing CoffeeScript in Rails,http://www.coffeescriptlove.com/2012/03/testing-coffeescript-in-rails.html?utm_source=rubyweekly&utm_medium=email
Color Output on Bash Scripts | Linux Tidbits,http://linuxtidbits.wordpress.com/2008/08/11/output-color-on-bash-scripts/
,http://people.apache.org/foaf/foafamatic.html
,https://blogs.apache.org/couchdb/
create node.js web-services in one line - — blog.nodejitsu.com,https://blog.nodejitsu.com/create-nodejs-web-services-in-one-line
CSS Architecture | Appfolio Engineering,http://engineering.appfolio.com/2012/11/16/css-architecture/
CSS Button Generator - Imageless css buttons simplified,http://www.cssbuttongenerator.com/
Cuba,http://cuba.is/
DailyJS: Backbone.js Tutorial: Build Environment,http://dailyjs.com/2012/11/29/backbone-tutorial-1/
,http://ci.couchdb.org:8888/
DataFart,http://datafart.com/
DataMapper - Documentation,http://datamapper.org/docs/
Deploying a Rails app on Nginx/Puma with Capistrano | Tommy Chheng : Shortest Path Programming,http://tommy.chheng.com/2013/01/23/deploying-a-rails-app-on-nginxpuma-with-capistrano/?utm_source=rubyweekly&utm_medium=email
Designing Better JavaScript APIs | Smashing Coding,http://coding.smashingmagazine.com/2012/10/09/designing-javascript-apis-usability/?utm_source=javascriptweekly&utm_medium=email
DevDocs/DOM Events/fullscreenchange,http://devdocs.io/dom_events/fullscreenchange
Developing Backbone.js Applications -,http://addyosmani.github.com/backbone-fundamentals/
DOM Enlightenment - Exploring the relationship between JavaScript and the modern HTML DOM,http://domenlightenment.com/
draft-ietf-httpbis-http2-02 - Hypertext Transfer Protocol version 2.0,http://tools.ietf.org/html/draft-ietf-httpbis-http2-02
"Einstein, Albert. 1920. Relativity: The Special and General Theory",http://www.bartleby.com/173/
Elastic tire demo,http://www.slideshare.net/greeneggs614/elastic-tire-demo
ElasticSearch with Tire,http://www.slideshare.net/abookyun/elasticsearch-with-tire
,https://www.eff.org/
Eloquent JavaScript: A Modern Introduction to Programming,http://eloquentjavascript.net/
Ember.js - About,http://emberjs.com/
erlang-bookmarks/ErlangBookmarks.md at master · 0xAX/erlang-bookmarks,https://github.com/0xAX/erlang-bookmarks/blob/master/ErlangBookmarks.md
erlang-bookmarks/ErlangBookmarks.md at master · 0xAX/erlang-bookmarks,https://github.com/0xAX/erlang-bookmarks/blob/master/ErlangBookmarks.md
,http://www.petekeen.net/essential-tools-for-starting-a-rails-app-in-2013
Evan Hahn,http://evanhahn.com/
,https://speakerdeck.com/bartoszopka/everything-you-never-wanted-to-know-about-javascript-numbers
,https://speakerdeck.com/bartoszopka/everything-you-never-wanted-to-know-about-javascript-numbers
,https://speakerdeck.com/bartoszopka/everything-you-never-wanted-to-know-about-javascript-numbers
Faster Websites: Crash Course on Web Performance - igvita.com,http://www.igvita.com/2013/01/15/faster-websites-crash-course-on-web-performance/
,http://travis-ci.org/rspec/rspec-expectations
File: SASS_REFERENCE,http://sass-lang.com/docs/yardoc/file.SASS_REFERENCE.html
Getting Started With Express Checkout | X.commerce,https://www.x.com/developers/paypal/documentation-tools/express-checkout/integration-guide/ECGettingStarted
,http://gavinmiller.io/categories/activerecord/
GIN – Just A Kind Of Index › Cybertec - The PostgreSQL Database Company,http://www.cybertec.at/gin-just-an-index-type/
GitHub does dotfiles - dotfiles.github.com,http://dotfiles.github.com/
"good coders code, great reuse",http://www.catonmat.net/
"Gutmann method - Wikipedia, the free encyclopedia",http://en.wikipedia.org/wiki/Gutmann_method
Harmony of Dreams Come True | Brendan Eich,https://brendaneich.com/2012/10/harmony-of-dreams-come-true/?utm_source=javascriptweekly&utm_medium=email
Headius: Finding Leaks in Ruby Apps with Eclipse Memory Analyzer,http://blog.headius.com/2010/07/finding-leaks-in-ruby-apps-with-eclipse.html
